Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,branch-b6g2,branch-ahcf,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: word,Spreadsheet: stim,Spreadsheet: step,Spreadsheet: list,Spreadsheet: left,Spreadsheet: right,Spreadsheet: progress,Spreadsheet: randomized_trial,Spreadsheet: type,Spreadsheet: condition,Store: target,Manipulation: correctAnswerCount,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Attempt,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,ANSWER,stimuli,ShowProgressBar
11,1773236013289,11/03/2026 13:33:33,1773236012983,-5,11/03/2026 08:33:32,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,correctAnswerCount,7,1,3,Screen 2,buttonB,response_button_text,959.1000000014901,,,1,,,,,,1,2,HugginsPitch_6_2.flac,1
12,1773236015085,11/03/2026 13:33:35,1773236014775,-5,11/03/2026 08:33:34,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,7,1,4,Screen 4,advancementZone,continue_button,1788.699999999255,,,0,,,,,,1,2,HugginsPitch_6_2.flac,1
13,1773236016073,11/03/2026 13:33:36,1773236015767,-5,11/03/2026 08:33:35,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,12,2,1,Screen 3,Zone3,timelimit_screen,1001.1999999999971,,,0,,,,1,,1,3,HugginsPitch_11_3.flac,1
14,1773236022144,11/03/2026 13:33:42,1773236021858,-5,11/03/2026 08:33:41,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,12,2,2,Screen 1,content,content_audio,6088.199999999255,,,0,,,,,,1,3,HugginsPitch_11_3.flac,1
15,1773236022969,11/03/2026 13:33:42,1773236022675,-5,11/03/2026 08:33:42,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,correctAnswerCount,12,2,3,Screen 2,buttonC,response_button_text,813,,,1,,,,,,1,3,HugginsPitch_11_3.flac,1
16,1773236024480,11/03/2026 13:33:44,1773236024168,-5,11/03/2026 08:33:44,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,12,2,4,Screen 4,advancementZone,continue_button,1490.1000000014901,,,0,,,,,,1,3,HugginsPitch_11_3.flac,1
17,1773236025474,11/03/2026 13:33:45,1773236025158,-5,11/03/2026 08:33:45,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,8,3,1,Screen 3,Zone3,timelimit_screen,1001,,,0,,,,1,,1,1,HugginsPitch_7_1.flac,1
18,1773236031544,11/03/2026 13:33:51,1773236031238,-5,11/03/2026 08:33:51,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,8,3,2,Screen 1,content,content_audio,6077.39999999851,,,0,,,,,,1,1,HugginsPitch_7_1.flac,1
19,1773236032387,11/03/2026 13:33:52,1773236032096,-5,11/03/2026 08:33:52,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,correctAnswerCount,8,3,3,Screen 2,buttonA,response_button_text,853.4000000022352,,,1,,,,,,1,1,HugginsPitch_7_1.flac,1
20,1773236033769,11/03/2026 13:33:53,1773236033458,-5,11/03/2026 08:33:53,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,8,3,4,Screen 4,advancementZone,continue_button,1359.3999999985099,,,0,,,,,,1,1,HugginsPitch_7_1.flac,1
21,1773236034749,11/03/2026 13:33:54,1773236034450,-5,11/03/2026 08:33:54,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,13,4,1,Screen 3,Zone3,timelimit_screen,1000.6000000000058,,,0,,,,1,,1,2,HugginsPitch_12_2.flac,1
22,1773236040828,11/03/2026 13:34:00,1773236040538,-5,11/03/2026 08:34:00,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,13,4,2,Screen 1,content,content_audio,6085.29999999702,,,0,,,,,,1,2,HugginsPitch_12_2.flac,1
23,1773236041467,11/03/2026 13:34:01,1773236041160,-5,11/03/2026 08:34:01,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,correctAnswerCount,13,4,3,Screen 2,buttonB,response_button_text,617.8000000007451,,,1,,,,,,1,2,HugginsPitch_12_2.flac,1
24,1773236042706,11/03/2026 13:34:02,1773236042422,-5,11/03/2026 08:34:02,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,13,4,4,Screen 4,advancementZone,continue_button,1259.8999999985099,,,0,,,,,,1,2,HugginsPitch_12_2.flac,1
25,1773236043700,11/03/2026 13:34:03,1773236043408,-5,11/03/2026 08:34:03,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,11,5,1,Screen 3,Zone3,timelimit_screen,1000.8999999999942,,,0,,,,1,,1,2,HugginsPitch_10_2.flac,1
26,1773236049792,11/03/2026 13:34:09,1773236049499,-5,11/03/2026 08:34:09,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,11,5,2,Screen 1,content,content_audio,6087.800000000745,,,0,,,,,,1,2,HugginsPitch_10_2.flac,1
27,1773236050982,11/03/2026 13:34:10,1773236050081,-5,11/03/2026 08:34:10,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,correctAnswerCount,11,5,3,Screen 2,buttonB,response_button_text,577.7999999970198,,,1,,,,,,1,2,HugginsPitch_10_2.flac,1
28,1773236051554,11/03/2026 13:34:11,1773236051248,-5,11/03/2026 08:34:11,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,11,5,4,Screen 4,advancementZone,continue_button,1164.7000000029802,,,0,,,,,,1,2,HugginsPitch_10_2.flac,1
29,1773236052535,11/03/2026 13:34:12,1773236052248,-5,11/03/2026 08:34:12,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,10,6,1,Screen 3,Zone3,timelimit_screen,1001,,,0,,,,1,,1,2,HugginsPitch_9_2.flac,1
30,1773236058621,11/03/2026 13:34:18,1773236058338,-5,11/03/2026 08:34:18,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,10,6,2,Screen 1,content,content_audio,6087.599999997765,,,0,,,,,,1,2,HugginsPitch_9_2.flac,1
31,1773236059552,11/03/2026 13:34:19,1773236059263,-5,11/03/2026 08:34:19,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,correctAnswerCount,10,6,3,Screen 2,buttonB,response_button_text,920.1999999992549,,,1,,,,,,1,2,HugginsPitch_9_2.flac,1
32,1773236060840,11/03/2026 13:34:20,1773236060550,-5,11/03/2026 08:34:20,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,10,6,4,Screen 4,advancementZone,continue_button,1285.1000000014901,,,0,,,,,,1,2,HugginsPitch_9_2.flac,1
33,1773236061006,11/03/2026 13:34:21,1773236060555,-5,11/03/2026 08:34:20,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,correctAnswerCount,,END TASK,,,,,93169,,,,,,,,,,,,
1,1773236077250,11/03/2026 13:34:37,1773236077250,-5,11/03/2026 08:34:37,255858,16,task-pkec,,53641867,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Phonetic categorization,32,spreadsheet1_dt_t left,pass,,,$${overridespreadsheet},,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1773236130408,11/03/2026 13:35:30,1773236130408,-5,11/03/2026 08:35:30,255858,16,task-pkec,,53641867,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Phonetic categorization,32,spreadsheet1_dt_t left,pass,,,$${overridespreadsheet},spreadsheet1_dt_t left,1,instructions,2AFC instructions,7fqomj,1,continue,,,52538.800000000745,52528.7,52538.800000000745,52538.800000000745,52528.7,52538.800000000745,1,0,0,,Click To Continue,Continue Button,1,object-242,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,,,,,,
3,1773236130899,11/03/2026 13:35:30,1773236130899,-5,11/03/2026 08:35:30,255858,16,task-pkec,,53641867,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Phonetic categorization,32,spreadsheet1_dt_t left,pass,,,$${overridespreadsheet},spreadsheet1_dt_t left,1,practice,fixation,8ljn8d,1,timedOut,,,501.49999999925785,500.70000000000437,501.49999999925785,501.49999999925785,500.70000000000437,501.49999999925785,1,0,0,,Time Limit,screen,0,screen,practice,,dill_+110.wav,,,t,d,,5,,,,,,,,,,,,,,,,,,,,,,,
4,1773236130902,11/03/2026 13:35:30,1773236130902,-5,11/03/2026 08:35:30,255858,16,task-pkec,,53641867,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Phonetic categorization,32,spreadsheet1_dt_t left,pass,,,$${overridespreadsheet},spreadsheet1_dt_t left,1,practice,soundplay,d8epi7,2,info,audio started,,3.900000000743603,0,3.900000000743603,3.900000000743603,0,3.900000000743603,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_+110.wav,,,t,d,,5,,,,,,,,,,,,,,,,,,,,,,,
5,1773236131341,11/03/2026 13:35:31,1773236131341,-5,11/03/2026 08:35:31,255858,16,task-pkec,,53641867,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Phonetic categorization,32,spreadsheet1_dt_t left,pass,,,$${overridespreadsheet},spreadsheet1_dt_t left,1,practice,soundplay,d8epi7,2,info,audio finished,,442.69999999776337,433.09999999999854,442.69999999776337,442.69999999776337,433.09999999999854,442.69999999776337,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_+110.wav,,,t,d,,5,,,,,,,,,,,,,,,,,,,,,,,
6,1773236131341,11/03/2026 13:35:31,1773236131341,-5,11/03/2026 08:35:31,255858,16,task-pkec,,53641867,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Phonetic categorization,32,spreadsheet1_dt_t left,pass,,,$${overridespreadsheet},spreadsheet1_dt_t left,1,practice,soundplay,d8epi7,2,continue,,,443.09999999999854,433.09999999999854,443.09999999999854,443.09999999999854,433.09999999999854,443.09999999999854,1,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_+110.wav,,,t,d,,5,,,,,,,,,,,,,,,,,,,,,,,
7,1773236143613,11/03/2026 13:35:43,1773236143613,-5,11/03/2026 08:35:43,255858,16,task-pkec,,53641867,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Phonetic categorization,32,spreadsheet1_dt_t left,pass,,,$${overridespreadsheet},spreadsheet1_dt_t left,1,practice,2AFC,9mjind,3,response,t,,12281.89999999851,12277.5,12281.89999999851,12281.89999999851,12277.5,12281.89999999851,0,0,0,,Keyboard Response,Keyboard Response,2,object-222,practice,,dill_+110.wav,,,t,d,,5,,,,,,,,,,,,,,,,,,,,,,,
8,1773236144811,11/03/2026 13:35:44,1773236144811,-5,11/03/2026 08:35:44,255858,16,task-pkec,,53641867,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Phonetic categorization,32,spreadsheet1_dt_t left,pass,,,$${overridespreadsheet},spreadsheet1_dt_t left,1,practice,1.2 second pause,uqcoka,4,timedOut,,,1201.8999999985099,1201.1000000000058,1201.8999999985099,1201.8999999985099,1201.1000000000058,1201.8999999985099,1,0,0,,Time Limit,screen,0,screen,practice,,dill_+110.wav,,,t,d,,5,,,,,,,,,,,,,,,,,,,,,,,
