VOT,center,block,condition,label,word,stage,session,randomized_trial
0,d,2,c1,1,dip,exposure2,exposure,exposure2
0,d,2,c1,1,dip,exposure2,exposure,exposure2
5,d,2,c1,1,dil,exposure2,exposure,exposure2
5,d,2,c1,0,dip,exposure2,exposure,exposure2
5,d,2,c1,0,dil,exposure2,exposure,exposure2
5,d,2,c1,0,din,exposure2,exposure,exposure2
5,d,2,c1,1,dil,exposure2,exposure,exposure2
5,d,2,c1,0,din,exposure2,exposure,exposure2
10,d,2,c1,0,din,exposure2,exposure,exposure2
10,d,2,c1,0,dip,exposure2,exposure,exposure2
10,d,2,c1,0,dip,exposure2,exposure,exposure2
10,d,2,c1,0,dil,exposure2,exposure,exposure2
10,d,2,c1,0,dil,exposure2,exposure,exposure2
10,t,2,c1,1,din,exposure2,exposure,exposure2
15,d,2,c1,1,din,exposure2,exposure,exposure2
15,d,2,c1,0,din,exposure2,exposure,exposure2
15,t,2,c1,1,din,exposure2,exposure,exposure2
20,d,2,c1,1,dil,exposure2,exposure,exposure2
20,d,2,c1,0,dip,exposure2,exposure,exposure2
20,t,2,c1,0,din,exposure2,exposure,exposure2
25,d,2,c1,1,dil,exposure2,exposure,exposure2
25,t,2,c1,1,dil,exposure2,exposure,exposure2
25,t,2,c1,1,dil,exposure2,exposure,exposure2
30,t,2,c1,1,dip,exposure2,exposure,exposure2
30,t,2,c1,1,dip,exposure2,exposure,exposure2
35,t,2,c1,1,din,exposure2,exposure,exposure2
40,t,2,c1,1,din,exposure2,exposure,exposure2
45,t,2,c1,0,dip,exposure2,exposure,exposure2
45,t,2,c1,1,dil,exposure2,exposure,exposure2
45,t,2,c1,0,din,exposure2,exposure,exposure2
45,t,2,c1,0,dip,exposure2,exposure,exposure2
45,t,2,c1,0,dil,exposure2,exposure,exposure2
50,t,2,c1,1,dip,exposure2,exposure,exposure2
50,t,2,c1,0,dip,exposure2,exposure,exposure2
55,t,2,c1,0,din,exposure2,exposure,exposure2
55,t,2,c1,0,dil,exposure2,exposure,exposure2
55,t,2,c1,1,dip,exposure2,exposure,exposure2
55,t,2,c1,0,dil,exposure2,exposure,exposure2
60,t,2,c1,1,dil,exposure2,exposure,exposure2
60,t,2,c1,0,dil,exposure2,exposure,exposure2
65,t,2,c1,0,din,exposure2,exposure,exposure2
85,t,2,c1,0,dip,exposure2,exposure,exposure2
NA,left,2,c1,0,left,exposure2,exposure,exposure2
NA,left,2,c1,1,left,exposure2,exposure,exposure2
NA,left,2,c1,0,left,exposure2,exposure,exposure2
NA,right,2,c1,1,right,exposure2,exposure,exposure2
NA,right,2,c1,0,right,exposure2,exposure,exposure2
NA,right,2,c1,1,right,exposure2,exposure,exposure2
-5,NA,6,NA,NA,din,test6,test,test6
5,NA,6,NA,NA,din,test6,test,test6
15,NA,6,NA,NA,din,test6,test,test6
25,NA,6,NA,NA,din,test6,test,test6
30,NA,6,NA,NA,dip,test6,test,test6
35,NA,6,NA,NA,dip,test6,test,test6
40,NA,6,NA,NA,dip,test6,test,test6
45,NA,6,NA,NA,dip,test6,test,test6
50,NA,6,NA,NA,dil,test6,test,test6
55,NA,6,NA,NA,dil,test6,test,test6
65,NA,6,NA,NA,dil,test6,test,test6
70,NA,6,NA,NA,dil,test6,test,test6
-5,NA,1,NA,NA,dil,test1,test,test1
5,NA,1,NA,NA,dil,test1,test,test1
15,NA,1,NA,NA,dil,test1,test,test1
25,NA,1,NA,NA,dil,test1,test,test1
30,NA,1,NA,NA,din,test1,test,test1
35,NA,1,NA,NA,din,test1,test,test1
40,NA,1,NA,NA,din,test1,test,test1
45,NA,1,NA,NA,din,test1,test,test1
50,NA,1,NA,NA,dip,test1,test,test1
55,NA,1,NA,NA,dip,test1,test,test1
65,NA,1,NA,NA,dip,test1,test,test1
70,NA,1,NA,NA,dip,test1,test,test1
-5,NA,2,NA,NA,dip,test2,test,test2
5,NA,2,NA,NA,dip,test2,test,test2
15,NA,2,NA,NA,dip,test2,test,test2
25,NA,2,NA,NA,dip,test2,test,test2
30,NA,2,NA,NA,dil,test2,test,test2
35,NA,2,NA,NA,dil,test2,test,test2
40,NA,2,NA,NA,dil,test2,test,test2
45,NA,2,NA,NA,dil,test2,test,test2
50,NA,2,NA,NA,din,test2,test,test2
55,NA,2,NA,NA,din,test2,test,test2
65,NA,2,NA,NA,din,test2,test,test2
70,NA,2,NA,NA,din,test2,test,test2
