Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: word,Spreadsheet: stim,Spreadsheet: step,Spreadsheet: list,Spreadsheet: left,Spreadsheet: right,Spreadsheet: progress,Spreadsheet: randomized_trial,Spreadsheet: type,Spreadsheet: condition,Spreadsheet: VOT,Spreadsheet: center,Spreadsheet: block,Spreadsheet: label,Spreadsheet: session,Spreadsheet: stage,Spreadsheet: progress_bar,Spreadsheet: word_display,Spreadsheet: trial_type,Spreadsheet: list_LSQ_variant,Spreadsheet: blockID,Spreadsheet: mean,Spreadsheet: sd,Spreadsheet: option_setup,Spreadsheet: token_category,Store: target
11,1784152837870,15/07/2026 22:00:37,1784152837870,-7,15/07/2026 15:00:37,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,1,practice,soundplay,d8epi7,3,info,audio finished,,399.9999999999927,383.3399999999965,399.9999999999927,399.9999999999927,383.3399999999965,399.9999999999927,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
12,1784152837871,15/07/2026 22:00:37,1784152837871,-7,15/07/2026 15:00:37,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,1,practice,soundplay,d8epi7,3,continue,,,399.9999999999927,383.3399999999965,399.9999999999927,399.9999999999927,383.3399999999965,399.9999999999927,1,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
13,1784152839148,15/07/2026 22:00:39,1784152839148,-7,15/07/2026 15:00:39,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,1,practice,2AFC,9mjind,4,response,dill,,1296.1600000000035,1283.3400000000038,1296.1600000000035,1296.1600000000035,1283.3400000000038,1296.1600000000035,0,0,0,,Keyboard Response,Keyboard Response,2,object-222,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
14,1784152840339,15/07/2026 22:00:40,1784152840339,-7,15/07/2026 15:00:40,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,1,practice,1.2 second pause,uqcoka,5,timedOut,,,1202.8199999999997,1200,1202.8199999999997,1202.8199999999997,1200,1202.8199999999997,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
15,1784152840835,15/07/2026 22:00:40,1784152840835,-7,15/07/2026 15:00:40,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,2,practice,fixation,8ljn8d,1,timedOut,,,500.8199999999997,499.76000000000204,500.8199999999997,500.8199999999997,499.76000000000204,500.8199999999997,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-100.wav,,,dill,din,,,,,,,,,,,,,,,,,,,,
16,1784152841337,15/07/2026 22:00:41,1784152841337,-7,15/07/2026 15:00:41,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,2,practice,show option,3my457,2,timedOut,,,501.0599999999977,500.23999999999796,501.0599999999977,501.0599999999977,500.23999999999796,501.0599999999977,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-100.wav,,,dill,din,,,,,,,,,,,,,,,,,,,,
17,1784152841343,15/07/2026 22:00:41,1784152841343,-7,15/07/2026 15:00:41,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,2,practice,soundplay,d8epi7,3,info,audio started,,7.819999999999709,0,7.819999999999709,7.819999999999709,0,7.819999999999709,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-100.wav,,,dill,din,,,,,,,,,,,,,,,,,,,,
18,1784152841686,15/07/2026 22:00:41,1784152841686,-7,15/07/2026 15:00:41,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,2,practice,soundplay,d8epi7,3,info,audio finished,,350.6599999999962,333.3199999999997,350.6599999999962,350.6599999999962,333.3199999999997,350.6599999999962,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-100.wav,,,dill,din,,,,,,,,,,,,,,,,,,,,
19,1784152841687,15/07/2026 22:00:41,1784152841687,-7,15/07/2026 15:00:41,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,2,practice,soundplay,d8epi7,3,continue,,,350.6599999999962,333.3199999999997,350.6599999999962,350.6599999999962,333.3199999999997,350.6599999999962,1,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-100.wav,,,dill,din,,,,,,,,,,,,,,,,,,,,
20,1784152842319,15/07/2026 22:00:42,1784152842319,-7,15/07/2026 15:00:42,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,2,practice,2AFC,9mjind,4,response,dill,,649.9999999999927,633.3399999999965,649.9999999999927,649.9999999999927,633.3399999999965,649.9999999999927,0,0,0,,Keyboard Response,Keyboard Response,2,object-222,practice,,dill_-100.wav,,,dill,din,,,,,,,,,,,,,,,,,,,,
21,1784152843505,15/07/2026 22:00:43,1784152843505,-7,15/07/2026 15:00:43,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,2,practice,1.2 second pause,uqcoka,5,timedOut,,,1203.1600000000035,1200,1203.1600000000035,1203.1600000000035,1200,1203.1600000000035,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-100.wav,,,dill,din,,,,,,,,,,,,,,,,,,,,
22,1784152844004,15/07/2026 22:00:44,1784152844004,-7,15/07/2026 15:00:44,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,3,practice,fixation,8ljn8d,1,timedOut,,,503.1600000000035,500,503.1600000000035,503.1600000000035,500,503.1600000000035,1,0,0,,Time Limit,screen,0,screen,practice,,din_+130.wav,,,din,tin,,,,,,,,,,,,,,,,,,,,
23,1784152844506,15/07/2026 22:00:44,1784152844506,-7,15/07/2026 15:00:44,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,3,practice,show option,3my457,2,timedOut,,,503.1600000000035,500,503.1600000000035,503.1600000000035,500,503.1600000000035,1,0,0,,Time Limit,screen,0,screen,practice,,din_+130.wav,,,din,tin,,,,,,,,,,,,,,,,,,,,
24,1784152844510,15/07/2026 22:00:44,1784152844510,-7,15/07/2026 15:00:44,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,3,practice,soundplay,d8epi7,3,info,audio started,,8.160000000003492,0,8.160000000003492,8.160000000003492,0,8.160000000003492,0,0,0,,Audio Clip,Audio,1,object-217,practice,,din_+130.wav,,,din,tin,,,,,,,,,,,,,,,,,,,,
25,1784152844921,15/07/2026 22:00:44,1784152844921,-7,15/07/2026 15:00:44,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,3,practice,soundplay,d8epi7,3,info,audio finished,,416.6599999999962,400,416.6599999999962,416.6599999999962,400,416.6599999999962,0,0,0,,Audio Clip,Audio,1,object-217,practice,,din_+130.wav,,,din,tin,,,,,,,,,,,,,,,,,,,,
26,1784152844922,15/07/2026 22:00:44,1784152844922,-7,15/07/2026 15:00:44,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,3,practice,soundplay,d8epi7,3,continue,,,416.6599999999962,400,416.6599999999962,416.6599999999962,400,416.6599999999962,1,0,0,,Audio Clip,Audio,1,object-217,practice,,din_+130.wav,,,din,tin,,,,,,,,,,,,,,,,,,,,
27,1784152845413,15/07/2026 22:00:45,1784152845413,-7,15/07/2026 15:00:45,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,3,practice,2AFC,9mjind,4,response,tin,,511.1600000000035,500,511.1600000000035,511.1600000000035,500,511.1600000000035,0,0,0,,Keyboard Response,Keyboard Response,2,object-222,practice,,din_+130.wav,,,din,tin,,,,,,,,,,,,,,,,,,,,
28,1784152846604,15/07/2026 22:00:46,1784152846604,-7,15/07/2026 15:00:46,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,3,practice,1.2 second pause,uqcoka,5,timedOut,,,1201.1600000000035,1197.3600000000006,1201.1600000000035,1201.1600000000035,1197.3600000000006,1201.1600000000035,1,0,0,,Time Limit,screen,0,screen,practice,,din_+130.wav,,,din,tin,,,,,,,,,,,,,,,,,,,,
29,1784152847103,15/07/2026 22:00:47,1784152847103,-7,15/07/2026 15:00:47,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,4,practice,fixation,8ljn8d,1,timedOut,,,503.8000000000029,500,503.8000000000029,503.8000000000029,500,503.8000000000029,1,0,0,,Time Limit,screen,0,screen,practice,,dip_+120.wav,,,dip,tip,,,,,,,,,,,,,,,,,,,,
30,1784152847602,15/07/2026 22:00:47,1784152847602,-7,15/07/2026 15:00:47,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,4,practice,show option,3my457,2,timedOut,,,502.8000000000029,500,502.8000000000029,502.8000000000029,500,502.8000000000029,1,0,0,,Time Limit,screen,0,screen,practice,,dip_+120.wav,,,dip,tip,,,,,,,,,,,,,,,,,,,,
31,1784152847611,15/07/2026 22:00:47,1784152847611,-7,15/07/2026 15:00:47,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,4,practice,soundplay,d8epi7,3,info,audio started,,11.80000000000291,0,11.80000000000291,11.80000000000291,0,11.80000000000291,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dip_+120.wav,,,dip,tip,,,,,,,,,,,,,,,,,,,,
32,1784152848088,15/07/2026 22:00:48,1784152848088,-7,15/07/2026 15:00:48,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,4,practice,soundplay,d8epi7,3,info,audio finished,,488.8000000000029,483.20000000000437,488.8000000000029,488.8000000000029,483.20000000000437,488.8000000000029,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dip_+120.wav,,,dip,tip,,,,,,,,,,,,,,,,,,,,
33,1784152848089,15/07/2026 22:00:48,1784152848089,-7,15/07/2026 15:00:48,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,4,practice,soundplay,d8epi7,3,continue,,,488.8000000000029,483.20000000000437,488.8000000000029,488.8000000000029,483.20000000000437,488.8000000000029,1,0,0,,Audio Clip,Audio,1,object-217,practice,,dip_+120.wav,,,dip,tip,,,,,,,,,,,,,,,,,,,,
34,1784152848392,15/07/2026 22:00:48,1784152848392,-7,15/07/2026 15:00:48,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,4,practice,2AFC,9mjind,4,response,tip,,310.59999999999854,300.1399999999994,310.59999999999854,310.59999999999854,300.1399999999994,310.59999999999854,0,0,0,,Keyboard Response,Keyboard Response,2,object-222,practice,,dip_+120.wav,,,dip,tip,,,,,,,,,,,,,,,,,,,,
35,1784152849587,15/07/2026 22:00:49,1784152849587,-7,15/07/2026 15:00:49,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,4,practice,1.2 second pause,uqcoka,5,timedOut,,,1203.4599999999991,1200,1203.4599999999991,1203.4599999999991,1200,1203.4599999999991,1,0,0,,Time Limit,screen,0,screen,practice,,dip_+120.wav,,,dip,tip,,,,,,,,,,,,,,,,,,,,
36,1784152850086,15/07/2026 22:00:50,1784152850086,-7,15/07/2026 15:00:50,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,5,practice,fixation,8ljn8d,1,timedOut,,,502.4599999999991,500,502.4599999999991,502.4599999999991,500,502.4599999999991,1,0,0,,Time Limit,screen,0,screen,practice,,dip_+125.wav,,,tin,tip,,,,,,,,,,,,,,,,,,,,
37,1784152850586,15/07/2026 22:00:50,1784152850586,-7,15/07/2026 15:00:50,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,5,practice,show option,3my457,2,timedOut,,,503.4599999999991,500,503.4599999999991,503.4599999999991,500,503.4599999999991,1,0,0,,Time Limit,screen,0,screen,practice,,dip_+125.wav,,,tin,tip,,,,,,,,,,,,,,,,,,,,
38,1784152850594,15/07/2026 22:00:50,1784152850594,-7,15/07/2026 15:00:50,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,5,practice,soundplay,d8epi7,3,info,audio started,,11.459999999999127,0,11.459999999999127,11.459999999999127,0,11.459999999999127,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dip_+125.wav,,,tin,tip,,,,,,,,,,,,,,,,,,,,
39,1784152851094,15/07/2026 22:00:51,1784152851094,-7,15/07/2026 15:00:51,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,5,practice,soundplay,d8epi7,3,info,audio finished,,511.4599999999991,500,511.4599999999991,511.4599999999991,500,511.4599999999991,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dip_+125.wav,,,tin,tip,,,,,,,,,,,,,,,,,,,,
40,1784152851094,15/07/2026 22:00:51,1784152851094,-7,15/07/2026 15:00:51,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,5,practice,soundplay,d8epi7,3,continue,,,511.4599999999991,500,511.4599999999991,511.4599999999991,500,511.4599999999991,1,0,0,,Audio Clip,Audio,1,object-217,practice,,dip_+125.wav,,,tin,tip,,,,,,,,,,,,,,,,,,,,
41,1784152851509,15/07/2026 22:00:51,1784152851509,-7,15/07/2026 15:00:51,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,5,practice,2AFC,9mjind,4,response,tip,,425.4599999999991,416.6599999999962,425.4599999999991,425.4599999999991,416.6599999999962,425.4599999999991,0,0,0,,Keyboard Response,Keyboard Response,2,object-222,practice,,dip_+125.wav,,,tin,tip,,,,,,,,,,,,,,,,,,,,
42,1784152852703,15/07/2026 22:00:52,1784152852703,-7,15/07/2026 15:00:52,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,5,practice,1.2 second pause,uqcoka,5,timedOut,,,1202.800000000003,1200,1202.800000000003,1202.800000000003,1200,1202.800000000003,1,0,0,,Time Limit,screen,0,screen,practice,,dip_+125.wav,,,tin,tip,,,,,,,,,,,,,,,,,,,,
43,1784152859449,15/07/2026 22:00:59,1784152859449,-7,15/07/2026 15:00:59,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,1,preparation buffer,Screen 4,xozot8,1,continue,,,6748.800000000003,6733.3399999999965,6748.800000000003,6748.800000000003,6733.3399999999965,6748.800000000003,1,0,0,,Click To Continue,Continue Button,1,object-322,preparation buffer,,,,,t,d,,,,,,,,,,,,,,,,,,,,
