display,trial_type,filename,word,VOT,label,condition,list_LSQ_variant,blockID,block,list,mean,sd,left,right,option_setup
exposure,exposure,dip_10.wav,dip,10,unlabeled,expo-20ms,A,A,2,A,5,8.94427191,dip,tip,d-left
exposure,exposure,dip_20.wav,dip,20,unlabeled,expo-20ms,A,A,2,A,5,8.94427191,dip,tip,d-left
exposure,exposure,dill_45.wav,till,45,labeled,expo-20ms,A,A,2,A,50,16.43167673,tin,till,d-left
exposure,exposure,dill_55.wav,till,55,labeled,expo-20ms,A,A,2,A,50,16.43167673,tin,till,d-left
exposure,exposure,dill_65.wav,till,65,labeled,expo-20ms,A,A,2,A,50,16.43167673,tin,till,d-left
exposure,exposure,dill_75.wav,till,75,labeled,expo-20ms,A,A,2,A,50,16.43167673,tin,till,d-left
exposure,exposure,dill_50.wav,till,50,unlabeled,expo-20ms,A,A,2,A,50,16.43167673,dill,till,d-left
exposure,exposure,dill_60.wav,till,60,unlabeled,expo-20ms,A,A,2,A,50,16.43167673,dill,till,d-left
exposure,exposure,dill_60.wav,till,60,unlabeled,expo-20ms,A,A,2,A,50,16.43167673,dill,till,d-left
exposure,exposure,dill_65.wav,till,65,unlabeled,expo-20ms,A,A,2,A,50,16.43167673,dill,till,d-left
exposure,exposure,din_40.wav,tin,40,labeled,expo-20ms,A,A,2,A,50,16.43167673,till,tin,d-left
exposure,exposure,din_60.wav,tin,60,labeled,expo-20ms,A,A,2,A,50,16.43167673,till,tin,d-left
exposure,exposure,din_70.wav,tin,70,labeled,expo-20ms,A,A,2,A,50,16.43167673,till,tin,d-left
exposure,exposure,din_75.wav,tin,75,labeled,expo-20ms,A,A,2,A,50,16.43167673,till,tin,d-left
exposure,exposure,din_40.wav,tin,40,unlabeled,expo-20ms,A,A,2,A,50,16.43167673,din,tin,d-left
exposure,exposure,din_45.wav,tin,45,unlabeled,expo-20ms,A,A,2,A,50,16.43167673,din,tin,d-left
exposure,exposure,din_45.wav,tin,45,unlabeled,expo-20ms,A,A,2,A,50,16.43167673,din,tin,d-left
exposure,exposure,din_50.wav,tin,50,unlabeled,expo-20ms,A,A,2,A,50,16.43167673,din,tin,d-left
exposure,exposure,dip_35.wav,tip,35,labeled,expo-20ms,A,A,2,A,50,16.43167673,tip,tin,d-left
exposure,exposure,dip_45.wav,tip,45,labeled,expo-20ms,A,A,2,A,50,16.43167673,tip,tin,d-left
exposure,exposure,dip_50.wav,tip,50,labeled,expo-20ms,A,A,2,A,50,16.43167673,tip,tin,d-left
exposure,exposure,dip_50.wav,tip,50,labeled,expo-20ms,A,A,2,A,50,16.43167673,tip,tin,d-left
exposure,exposure,dip_20.wav,tip,20,unlabeled,expo-20ms,A,A,2,A,50,16.43167673,dip,tip,d-left
exposure,exposure,dip_50.wav,tip,50,unlabeled,expo-20ms,A,A,2,A,50,16.43167673,dip,tip,d-left
exposure,exposure,dip_55.wav,tip,55,unlabeled,expo-20ms,A,A,2,A,50,16.43167673,dip,tip,d-left
exposure,exposure,dip_65.wav,tip,65,unlabeled,expo-20ms,A,A,2,A,50,16.43167673,dip,tip,d-left
exposure,catch,flare.wav,flare,NA,NA,expo-20ms,A,A,2,A,NA,NA,flare,share,d-left
exposure,catch,flare.wav,flare,NA,NA,expo-20ms,A,A,2,A,NA,NA,flare,share,d-left
exposure,catch,rare.wav,rare,NA,NA,expo-20ms,A,A,2,A,NA,NA,rare,flare,d-left
exposure,catch,rare.wav,rare,NA,NA,expo-20ms,A,A,2,A,NA,NA,rare,flare,d-left
exposure,catch,share.wav,share,NA,NA,expo-20ms,A,A,2,A,NA,NA,rare,share,d-left
exposure,catch,share.wav,share,NA,NA,expo-20ms,A,A,2,A,NA,NA,rare,share,d-left
